project_number,project_number_string,project_title,project_title_english,responsible_applicant,funding_instrument,funding_instrument_hierarchy,institution,institution_country,university,discipline_number,discipline_name,discipline_name_hierarchy,all_disciplines,start_date,end_date,approved_amount,keywords
171191,400340_171191,"Feminisation, agricultural transition and rural employment: Social and political conditions of asset-building in the context of export-led agriculture and alternative income generating opportunities","Feminisation, agricultural transition and rural employment: Social and political conditions of asset-building in the context of export-led agriculture and alternative income generating opportunities",Znoj Heinzpeter,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Switzerland,University of Berne - BE,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206/10203/10201,01.07.2017,31.08.2021,2204922.00,Non-traditional agricultural exports NTAE; Feminization of labour; Export-led agriculture; Rural employment; High-value crops for export; Agricultural transition; Gender relations; Asset-building; Feminization of agriculture; value chains; Political economy of rural labour markets
177295,IZ08Z0_177295,Adapting and strengthening educational guidance and career counseling to promote decent work in two West African countries: Burkina Faso and Togo,Adapting and strengthening educational guidance and career counseling to promote decent work in two West African countries: Burkina Faso and Togo,Rossier Jérôme,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de psychologie Université de Lausanne,Switzerland,University of Lausanne - LA,10605,Applied psychology,"Humanities and Social Sciences;Psychology, educational studies",10605/10104,01.11.2018,31.10.2022,599946.00,Entrepreneurship; Decent work; Career counseling; Educational guidance; Vocational psychology
177296,IZ08Z0_177296,Kick it like a Girl! Young Women Push Themselves Through Football in the African Public Space.,NA,Malatesta Dominique,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Ecole d'études sociales et pédagogiques Haute école de travail social et de la santé HES-SO,Switzerland,University of Applied Sciences and Arts Western Switzerland - HES-SO,10201,Sociology,"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health",10201/10601,01.06.2018,31.05.2022,592837.00,Gender; Empowerment; Sustainable Development Goals; Citizenship; Football; Public Space; Cameroun; Senegal
177319,IZ08Z0_177319,Advancing Cervical Cancer Screening in HIV-positive women (ACCHIVe) - The Cervical Cancer Prevention and Care Cascade,ACCHIVe - The Cervical Cancer Prevention and Care Cascade,Bohlius Julia,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut für Sozial- und Präventivmedizin Universität Bern,Switzerland,University of Berne - BE,30911,Public Health and Health Services,Biology and Medicine;Social Medicine,30911/30805,01.10.2018,30.09.2022,600000.00,screening; Southern Africa; HIV/AIDS; cervical cancer
177322,IZ08Z0_177322,Challenges of municipal solid waste management: Learning from post-crisis governance initiatives in South Asia,Challenges of municipal solid waste management: Learning from post-crisis governance initiatives in South Asia,Véron René,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de géographie et durabilité Faculté des géosciences et de l'environnemen Université de Lausanne,Switzerland,University of Lausanne - LA,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206/20501/10202/10201/20709,01.11.2018,31.10.2022,599998.00,India; Urban Governance; Waste Management; South-South Partnership; Political Ecology; South Asia; Nepal; Sri Lanka; Social Acceptability
177346,IZ08Z0_177346,Re-cycling of biomass nutrients and carbon for advanced organic fertilization in an eco-smart and climate positive agriculture on Cuba (Bio-C),Re-cycling of biomass nutrients and carbon for advanced organic fertilization in an eco-smart and climate positive agriculture on Cuba (Bio-C),Schmidt Hans-Peter,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Ithaka Institute for Carbon Strategies,Switzerland,Research Institutes Agroscope - AGS,30205,Agricultural and Forestry Sciences,Biology and Medicine;General Biology,30205/30207,01.09.2018,31.08.2022,589104.00,Compost; Nutrient Recycling; Biomass; Greenhouse Gas Emission; Organic Fertilizer; Biochar; Plant Pathology; Anaerobic Digestion; Carbon Sequestration
177385,IZ08Z0_177385,Intercultural transdisciplinarity in Guatemala and Peru: A North-South-South learning platform for culturally pertinent public health provision systems for indigenous populations,Intercultural transdisciplinarity in Guatemala and Peru: A North-South-South learning platform for culturally pertinent public health provision systems for indigenous populations,Maake Caroline,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Anatomisches Institut Universität Zürich,Switzerland,University of Zurich - ZH,10602,Health,"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health",10602/30911/10403/10607,01.08.2018,31.07.2021,598460.00,Inclusive Public Health; Indigenous Health; Ethnomedicine; Sustainable Health Systems; Transdisciplinarity; Culture Revitalization; Latin America; Medical Anthropology; Amazonian Linguistics; Ethnopsychology
177386,IZ08Z0_177386,Mountain biodiversity and the Sustainable Development Goals: knowledge for synergistic action,Mountain biodiversity and the Sustainable Development Goals: knowledge for synergistic action,Fischer Markus,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut für Pflanzenwissenschaften Universität Bern,Switzerland,University of Berne - BE,30207,Ecology,Biology and Medicine;General Biology,30207/10206,01.11.2018,31.10.2022,599532.00,Biodiversity; Sustainable Development Goals; Least developed countries; Mountains; Ecosystem services; Human wellbeing
177474,IZ08Z0_177474,Development of a geoscientific framework for geothermal exploration and energy utilization in Mongolia,NA,Samrock Friedemann,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Departement Erdwissenschaften ETH Zürich,Switzerland,ETH Zurich - ETHZ,20802,Geophysics,"Mathematics, Natural- and Engineering Sciences;Earth Sciences",20802/20809,01.09.2018,31.08.2021,444020.00,Paris Agreement; Climate change; Greenhouse gas emissions; Renewable energy; Geothermal energy; Geoscience; Geothermal exploration; Geophysical prospecting; Reservoir charaterisation; Capacity building
177480,IZ08Z0_177480,PINOY Tannin (Full),PINOY Tannin,Pichelin Frédéric,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,"Berner Fachhochschule Architektur, Holz und Bau",Switzerland,Berne University of Applied Sciences - BFH,20510,Forest Engineering,"Mathematics, Natural- and Engineering Sciences;Engineering Sciences",20510/20505/20509,01.06.2018,31.05.2022,600000.00,Agroforestry by-products; Condensed tannins; Wood adhesives; Sustainable forestry; Wood based panels; Forestry policies; Wood preservatives; Biomass extraction; Pilot extraction plant; Market entry analysis
177481,IZ08Z0_177481,Influence of different pest management systems in potato production on PEsticide REsidues in CUban SOils (PERECUSO),Influence of different pest management systems in potato production on PEsticide REsidues in CUban SOils (PERECUSO),Bucheli Thomas Daniel,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Forschungsanstalt Agroscope Reckenholz-Tänikon ART,Switzerland,Research Institutes Agroscope - AGS,20709,Other disciplines of Environmental Sciences,"Mathematics, Natural- and Engineering Sciences;Environmental Sciences",20709/30205,01.10.2018,30.09.2022,599720.00,environmental safety; biocontrol; pesticide residues; potato cultivation; pest management; food safety
177515,IZ08Z0_177515,"Preservation of Central Asian fruit tree forest ecosystems, pome fruit varieties and germplasm from the recent epidemics caused by the invasive bacterial pathogen Erwinia amylovora (fire blight)",NA,Smits Theo H.M.,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut Umwelt und Natürliche Ressourcen ZHAW,Switzerland,Zurich University of Applied Sciences - ZHAW,30205,Agricultural and Forestry Sciences,Biology and Medicine;General Biology,30205/30102/30206/30207/30107/30201/10206,01.08.2018,31.07.2022,598140.00,Fire blight; Forest ecosystems; Fruit orchards; Endangered species; Apple germplasm; Central Asia; Conservation biology; Bacterial pathogens
177582,400540_177582,Farmer-driven organic resource management to build soil fertility,Farmer-driven organic resource management to build soil fertility,Fliessbach Andreas,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Forschungsinstitut für biologischen Landbau (FiBL),Switzerland,Research Institute of Organic Agriculture - FiBL,30205,Agricultural and Forestry Sciences,Biology and Medicine;General Biology,30205/30206/10201/10207,01.01.2018,30.06.2021,1722737.00,Soil fertility ; Institution building; Soil governance; Organic resource management; Communication for development; Farmers; Adoption of technology; Participatory research
177583,400540_177583,Sustainable use of insects to improve livestock production and food security in smallholder farms in West Africa,Sustainable use of insects to improve livestock production and food security in smallholder farms in West Africa,Kenis Marc,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,CABI,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",30209,Animal Breeding,Biology and Medicine;General Biology,30209/30202/10403/30206/30205,01.01.2018,31.12.2021,1422459.00,Proteins; Fly production; indigenous poultry farming; Aquaculture; Food Security; insects as animal feed; Termites; Smallholder farmers
177584,400540_177584,"Biophysical, institutional and economic drivers of sustainable soil use in yam systems for improved food security in West Africa (YAMSYS)","Biophysical, institutional and economic drivers of sustainable soil use in yam systems for improved food security in West Africa (YAMSYS)",Frossard Emmanuel,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Pflanzenernährung Institut  für Agrarwissenschaften ETH Zürich,Switzerland,ETH Zurich - ETHZ,20701,Pedology,"Mathematics, Natural- and Engineering Sciences;Environmental Sciences",20701,01.12.2017,30.11.2021,1400294.00,yams; innovations; soil fertility ; acceptability; innovation platforms; organizations of change
177585,400540_177585,Towards Food Sustainability: Reshaping the Coexistence of Different Food Systems in South America and Africa,Towards Food Sustainability: Reshaping the Coexistence of Different Food Systems in South America and Africa,Rist Stephan,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Zentrum für Entwicklung und Umwelt Universität Bern,Switzerland,University of Berne - BE,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206,01.01.2018,31.08.2021,1280202.00,Sustainability ; South America; East Africa; Environmental performance; Food systems; Right to food; Social-ecological resilience; Food Security; Poverty and inequality; Governance
177587,400440_177587,Oil Palm Adaptive Landscapes,Oil Palm Adaptive Landscapes,Ghazoul Jaboury,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Ecosystem Management Institute of Terrestrial Ecosystems ETH Zürich,Switzerland,ETH Zurich - ETHZ,30206,Environmental Research,Biology and Medicine;General Biology,30206/20709/20705/10201,01.03.2018,31.05.2021,1487313.00,Oil Palm; Coupled Social and Environmental Models; Participatory Modelling; Landscape; Impact pathways
177588,400440_177588,Woody invasive alien species in East Africa: assessing and mitigating their negative impact on ecosystem services and rural livelihood,NA,Schaffner Urs,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,CABI,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",30207,Ecology,Biology and Medicine;General Biology,30207/30206/10105/10203/10204/20705/10201,01.01.2018,31.12.2021,1615755.00,sustainable land management; ecosystem services; East Africa; Invasive alien species; woody plant species; rural livelihood
177591,400540_177591,"Land Commercialisation, Gendered Agrarian Transformation, and the Right to Food-- Prolongation","Land Commercialisation, Gendered Agrarian Transformation, and the Right to Food -- Prolongation",Prügl Elisabeth,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de Hautes Etudes Internationales et du Développement,Switzerland,Graduate Institute of International and Development Studies - IHEID,10202,Political science,"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health",10202/10205/10201/10203/10403,01.02.2018,31.01.2022,1434158.00,land commercialisation; agrarian transformation; gender; right to food
177592,400440_177592,Managing telecoupled landscapes for the sustainable provision of ecosystem services and poverty alleviation,Managing telecoupled landscapes for the sustainable provision of ecosystem services and poverty alleviation,Messerli Peter,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Zentrum für Entwicklung und Umwelt Universität Bern,Switzerland,University of Berne - BE,30206,Environmental Research,Biology and Medicine;General Biology,30206/10206,01.01.2018,30.06.2021,1725309.00,Land use decision-making; Multi-stakeholder learning; Trade-offs in ecosystem service flows; Adaptive land governance; Socio-ecological systems; Telecoupling; Bayesian modelling
183759,400640_183759,Inclusive Social protection for chronic health problems,Inclusive Social protection for chronic health problems,Maurer Jürgen,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,HEC - Ecole des Hautes Etudes Commerciales Université de Lausanne,Switzerland,University of Lausanne - LA,10203,Economics,"Humanities and Social Sciences;Economics, law",10203/30911,01.01.2019,31.12.2022,1524640.00,Health; Work Disability; Healthcare; Poverty; NCDs; Development
183760,400640_183760,Health systems governance for an inclusive and sustainable social health protection in Ghana and Tanzania,Health systems governance for an inclusive and sustainable social health protection in Ghana and Tanzania,Tediosi Fabrizio,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Schweizerisches Tropen- und Public Health-Institut,Switzerland,University of Basel - BS,30911,Public Health and Health Services,Biology and Medicine;Social Medicine,30911,01.02.2019,31.01.2022,1277870.00,social health protection; health financing; health system governance; health systems
194003,400640_194003,Health impact assessment for engaging natural resource extraction projects in sustainable development in producer regions (HIA4SD Project),Health impact assessment for engaging natural resource extraction projects in sustainable development in producer regions (HIA4SD Project),Winkler Mirko,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Schweizerisches Tropen- und Public Health-Institut,Switzerland,University of Basel - BS,30911,Public Health and Health Services,Biology and Medicine;Social Medicine,30911/10202/10602/10203/30906/30812,01.09.2020,31.08.2023,1060417.00,Health impact assessment; Public health; Resource extraction projects; Health systems; Sustainable development; Africa; Sustainable development goals; Resource Impact Dashboard
194004,400440_194004,Assessing the ‘nature’ of a ‘forest transition’ in Vietnam: ecosystem services and social-ecological resilience in locally managed forest landscapes,Assessing the ‘nature’ of a ‘forest transition’ in Vietnam: ecosystem services and social-ecological resilience in locally managed forest landscapes,Kull Christian,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de géographie et durabilité Faculté des géosciences et de l'environnemen Université de Lausanne,Switzerland,University of Lausanne - LA,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206/30205/30207/30206,01.09.2020,31.08.2023,830986.00,forest policies; rainforest disturbance and succession; acacia plantations; tropical landscape ecology; household and community forest tenure; forest transition; rural livelihoods; payments for forest ecosystem services
194005,400340_194005,Linking Education and Labor Markets: Under what conditions can Technical Vocational Education and Training (TVET) improve the income of the youth?,Linking Education and Labor Markets: Under what conditions can Technical Vocational Education and Training (TVET) improve the income of the youth?,Renold Ursula,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,D-MTEC Swiss Economic Institute Swiss Federal Institute for Technology ETH,Switzerland,ETH Zurich - ETHZ,10203,Economics,"Humanities and Social Sciences;Economics, law",10203/10104/10201,01.06.2020,31.05.2023,1350793.00,Gainful Employment; Vocational Education and Training; Formal Education System; Formal Employment System; Youth Labour Market; Informal Employment System ; Employer Engagement; Informal Education System; Social Institutions
194006,400340_194006,The contribution of vocational skills development to inclusive industrial growth and transformation: An analysis of critical factors in 6 countries - PHASE 2,The contribution of vocational skills development to inclusive industrial growth and transformation: An analysis of critical factors in 6 countries - PHASE 2,Maurer Markus,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Pädagogische Hochschule Zürich,Switzerland,Pädagogische Hochschule Zürich - PHZH,10104,"Education and learning sciences, subject-specific education","Humanities and Social Sciences;Psychology, educational studies",10104/10203,01.09.2020,31.08.2023,1440313.00,social inclusion; industry training; impact of training; developing countries; vocational education and training
194008,400340_194008,Curbing Illicit Financial Flows from Resource-rich Developing Countries: Improving Natural Resource Governance to Finance the SDGs,Curbing Illicit Financial Flows from Resource-rich Developing Countries: Improving Natural Resource Governance to Finance the SDGs,Carbonnier Gilles,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de Hautes Etudes Internationales et du Développement,Switzerland,Graduate Institute of International and Development Studies - IHEID,10203,Economics,"Humanities and Social Sciences;Economics, law",10203/10205/10202,01.09.2020,31.08.2023,1341300.00,Illicit financial flows; Taxation and investment regimes; Trade and transfer mispricing; Commodity trading; Natural resource governance; Ghana; Multi-stakeholder governance; Laos
